Name,Application Draft,Application Materials Needed,Commission %,Contact Email,Contact Name,Contact Phone,Deadline,Event / Show Date,Fee,Fit Score,Follow-Up Date,Location,Next Action,Opportunity Type,Organization,Outcome Date,Outcome Notes,Related Event,Related Products,Requirements,Source,Source File / Email,Status,Strategic Value,Submission Date,Submitted Artworks,Submitted Artworks 1,Website / Application URL
Maine Made Certification,,"Bio, artist statement, business info, images, product examples",0,,,,,,0,8,,Maine,Review application requirements and decide whether to apply in the next 30 days.,Certification,Maine Made,,,,,"Confirm Maine residency requirements, original design/material requirements, business information, product categories, and application materials.",Gemini,2026 marketing plan notes,Considering,"Collector Trust, Credibility, Local Exposure, Website/GEO Value",,,,
Collect Summer Art Sale,,"artist bio, artwork list, images, prices",0,,,,,"June 5, 2026",0,6,,"Portland, ME",Verify whether Arts of August is eligible and whether the 2026 deadline is still open.,Juried Show,MECA&D,,,,,"Research eligibility, submission requirements, deadlines, artwork limits, pricing rules, and whether participation is open to non-students/alumni.",Gemini,2026 marketing plan notes,Researching,"Collector Access, Credibility, Local Exposure",,,,
Cosimo Artist Marketplace,,"artist bio, artwork descriptions, images, prices",0,,,,,,0,5,,Online,Research current platform requirements before deciding whether to create a seller profile.,Marketplace,Cosimo,,,,,"Research marketplace fit, fee/commission model, original artwork requirements, upload workflow, and whether Arts of August inventory is a fit.",Gemini,2026 marketing plan notes,Researching,"Collector Access, Sales Potential, Website/GEO Value",,,,
Ugallery Artist Application,,"artist bio, artwork descriptions, portfolio images, prices",0,,,,,,0,6,,Online,Research current artist application requirements and commission model.,Marketplace,Ugallery,,,,,"Research curated artist application process, pricing expectations, commission, artwork shipping requirements, and fit for oil originals.",Gemini,2026 marketing plan notes,Researching,"Collector Access, Credibility, Sales Potential",,,,
Singulart Artist Application,,"artist bio, artwork descriptions, portfolio images, prices",0,,,,,,0,6,,Online,Research whether Arts of August is ready for a curated marketplace application.,Marketplace,Singulart,,,,,"Research curated artist application process, price range, original artwork fit, shipping expectations, and commission model.",Gemini,2026 marketing plan notes,Researching,"Collector Access, Credibility, Sales Potential",,,,
Vacant Storefront Art Initiative,Submitted inquiry described Arts of August as oil painting inspired by Maine coastal communities and working waterfront themes.,"W9, application form, artwork confirmation, images",0,nmartin@portlandmaine.gov; sking@portlandmaine.gov; publicart@portlandmaine.gov,Nancy Martin / Sean King,207-756-8019,,,0,9,,"Portland, ME",Create/link corresponding public display Event record if not already created; note selected works on Art Pieces.,Public Art,City of Portland,"April 20, 2026",Two works selected by Old Port property owners: Tied to the Morning for 584 Congress and Salt and Sunlight for 416 Fore Street.,,,Submit artwork through City of Portland process. W9 required after selection. Confirm banner wording/spelling.,Email,"Vacant Storefront Art Initiative Submission; Congrats, your artwork was selected by a property owner",Accepted,"Credibility, Local Exposure, Portfolio History, Press Potential, Website/GEO Value","December 30, 2025",Tied to the Morning; Salt and Sunlight,,
Vineyard Haven Banner Call for Art,"Late inquiry emphasized coastal landscapes, light, sense of place, and personal meaning of Martha's Vineyard.","artist note, artwork files, images",0,hello@vhhcd.org,,,,,0,7,,"Vineyard Haven, MA",Track for response or future rounds.,Public Art,Vineyard Haven Harbor Cultural District,,,,,Late submission inquiry sent after deadline. Attached banner-ready artwork PDFs.,Email,Late Submission Inquiry — Vineyard Haven Banner Call for Art,Applied,"Local Exposure, Portfolio History, Relationship Building","May 5, 2026",After the Catch; Anchored; Lobster Buoy; Salt and Sunlight; Tethered by Tide; Where Peace Hangs,,
Arts in SoPo — Celebrating SoPo,"Submitted artist note about coastal landscapes, shoreline light, reflection, and mood.","artwork list, dimensions, images, medium, price",0,artsinsopo@gmail.com,Elle McCarthy,207-803-5033,,,0,8,"June 1, 2026","50 Market St, Suite 1, South Portland, ME 04106",Watch for acceptance confirmation and gallery contract on 2026-06-01.,Gallery,Arts in SoPo,,Arts in SoPo confirmed receipt of all 4 submissions across two emails.,,,Submitted two works for group show consideration. Acceptance confirmation/details expected 2026-06-01.,Email,Arts in SoPo Submission – Kaleigh Anderson,Applied,"Collector Access, Credibility, Local Exposure, Relationship Building","May 27, 2026",Vanishing into the Fog; Last Light Along the Shore,,
Arts in SoPo — Share Your Art!,"Submitted artist note about the quiet beauty of coastal Maine, shoreline light, reflection, atmosphere, and maritime spaces.","artwork list, dimension confirmation, dimensions, images, medium, price",0,artsinsopo@gmail.com,Elle McCarthy,207-803-5033,,,0,8,"June 1, 2026","50 Market St, Suite 1, South Portland, ME 04106",Confirm/correct dimensions for A Place to Return and watch for acceptance email/contract.,Gallery,Arts in SoPo,,Arts in SoPo confirmed receipt of all 4 submissions and asked for dimension confirmation on A Place to Return.,,,Submitted two works for group show consideration. Acceptance confirmation/details expected 2026-06-01. Gallery asked for dimension confirmation on A Place to Return.,Email,Arts in SoPo Submission – Kaleigh Anderson - thread2,Applied,"Collector Access, Credibility, Local Exposure, Relationship Building","May 27, 2026",A Place to Return; When the Water Remembered the Sky,,
Art in the Park — South Portland,,"Application, ad artwork if participating, booth fee/payment",0,jfisher@southportland.gov,Jenna Martyn-Fisher,207-767-7650,,"August 8, 2026",0,9,,"South Portland, ME",Complete event inventory plan and decide whether to submit ad artwork.,Market,City of South Portland / Art in the Park,"May 21, 2026",Accepted from waitlist. Site number 93. Original check to be deposited.,Art in the Park,,"Application submitted by mail and fee/check sent. Initially waitlisted, then accepted after cancellation. Optional ad opportunity available.",Email,Art in the Park,Accepted,"Collector Access, Local Exposure, Portfolio History, Sales Potential","March 25, 2026",,,https://southportlandme.myrec.com/info/activities/program_details.aspx?ProgramID=31686
