product_id,artwork_id,Product Name,Product Type,Price,Workflow Status,Source Artwork,Fulfillment Method,Sales Channels,Print File,Primary Mockup File,Mockup Image Full Set,Etsy Link,Etsy Listing ID,Etsy Shipping Profile,Etsy Status,Finish,Frame Color,Lovable Shipping Rate,Lovable Status,Margin %,Notes,Orientation,Printful Base Cost,Printful Product,Printful SKU,Shipping Cost,Shipping Model,Size,Total Cost,Mockup Status,Next Action,POC Product
AOA-PRD-0061-010,AOA-ART-0061,Print — Floating Frame (Printful) — 33x42,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Black,,,,AOA-PRD-0061-010 | Large size — confirm Printful SKU and retail price.,,,,,,,33x42,,,,No
AOA-PRD-0061-009,AOA-ART-0061,Print — Floating Frame (Printful) — 33x42,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Natural,,,,AOA-PRD-0061-009 | Large size — confirm Printful SKU and retail price.,,,,,,,33x42,,,,No
AOA-PRD-0061-008,AOA-ART-0061,Print — Floating Frame (Printful) — 33x42,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),White,,,,AOA-PRD-0061-008 | Large size — confirm Printful SKU and retail price.,,,,,,,33x42,,,,No
AOA-PRD-0061-007,AOA-ART-0061,Print — Floating Frame (Printful) — 22x28,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Black,,,,AOA-PRD-0061-007 | Medium size — confirm Printful SKU and retail price.,,,,,,,22x28,,,,No
AOA-PRD-0061-006,AOA-ART-0061,Print — Floating Frame (Printful) — 22x28,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Natural,,,,AOA-PRD-0061-006 | Medium size — confirm Printful SKU and retail price.,,,,,,,22x28,,,,No
AOA-PRD-0061-005,AOA-ART-0061,Print — Floating Frame (Printful) — 22x28,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),White,,,,AOA-PRD-0061-005 | Medium size — confirm Printful SKU and retail price.,,,,,,,22x28,,,,No
AOA-PRD-0061-004,AOA-ART-0061,Print — Floating Frame (Printful) — 11x14,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Black,,,,"AOA-PRD-0061-004 | Printful variant: floating frame, portrait — confirm Printful SKU and retail price.",,,,,,,11x14,,,,No
AOA-PRD-0061-003,AOA-ART-0061,Print — Floating Frame (Printful) — 11x14,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),Natural,,,,"AOA-PRD-0061-003 | Printful variant: floating frame, portrait — confirm Printful SKU and retail price.",,,,,,,11x14,,,,No
AOA-PRD-0061-002,AOA-ART-0061,Print — Floating Frame (Printful) — 11x14,Print,,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),Printful,,,,,,,,,Floating Frame (Printful),White,,,,"AOA-PRD-0061-002 | Printful variant: floating frame, portrait — confirm Printful SKU and retail price.",,,,,,,11x14,,,,No
AOA-PRD-0061-001,AOA-ART-0061,Original — Gallery Wrap (Original) — 11x14,Original,$249.00,ready-for-review,Where the Water Waits (https://app.notion.com/p/Where-the-Water-Waits-37370b21b17e811aa88ff8c0a7e8cc43?pvs=21),manual,,,,,,,,,Gallery Wrap (Original),,,,,AOA-PRD-0061-001 | Original painting record; confirm framing and edge finish before sale.,,,,,,,11x14,,,,No
