TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Light Through the Clouds","Description: Light Through the Clouds captures the quiet moment when the sky opens — light pouring through a break in the clouds over a still Maine bay at dusk. Original oil painting on canvas, signed on the back. Painted in my Scarborough, Maine studio. Ships flat and carefully wrapped from Maine within 5–7 business days. Local pickup available in the Scarborough / Portland area. Each original is one of a kind — once it is gone, it is gone. Commissions in a similar style are available; message me to start one.

Story: The quiet moment when the sky opens — light pouring through a break in the clouds over the bay, painted from a still evening on the Maine coast.

Subject: Evening seascape with distant forested islands, calm water, rocky foreground and light breakthrough through clouds

Location: Maine coast — Scarborough area

Light Description: Pale gold light breaking through violet atmosphere — cool and gentle. Light moves through violet space as illuminated air. Not dramatic; the last working light of the day filtered through atmosphere and cloud.

• Pine tree frame
• Frame thickness: 1.25″ (3.18 cm)
• Canvas fabric weight: 10.15 +/- 0.74 oz/yd² (344 g/m² +/- 25g/m²)
• Open back
• Comes with rubber pads on the back corners
• Hanging hardware attached
• Blank product sourced from the US

Disclaimers:
- The framed canvases with brown and black frames have a black inside around the canvas, and the canvases with white frames have a white inside around the canvas.
- This product isn’t intended for sanding or cutting—it creates airborne dust that might cause lung irritation.",95,USD,165,"coastal_seascape,sunset_landscape,Maine_art,evening_light,atmospheric_painting,canvas_seascape,twilight_seascape,coastal_Maine,seascape_wall_decor,dusk_landscape,cloud_painting,sunbeams_art",,https://i.etsystatic.com/61909134/r/il/1b6163/8098416811/il_fullxfull.8098416811_icae.jpg,https://i.etsystatic.com/61909134/r/il/1c1367/8050504110/il_fullxfull.8050504110_lijq.jpg,https://i.etsystatic.com/61909134/r/il/561119/8098416891/il_fullxfull.8098416891_p3g9.jpg,https://i.etsystatic.com/61909134/r/il/b63254/8050504200/il_fullxfull.8050504200_jm4a.jpg,https://i.etsystatic.com/61909134/r/il/58fe7d/8050504260/il_fullxfull.8050504260_m101.jpg,https://i.etsystatic.com/61909134/r/il/0e6da6/8098417053/il_fullxfull.8098417053_4vk9.jpg,https://i.etsystatic.com/61909134/r/il/b537bf/8098417109/il_fullxfull.8098417109_djqc.jpg,https://i.etsystatic.com/61909134/r/il/f2fa32/8098417147/il_fullxfull.8098417147_cucz.jpg,https://i.etsystatic.com/61909134/r/il/d62f48/8050504484/il_fullxfull.8050504484_992t.jpg,https://i.etsystatic.com/61909134/r/il/d695a6/8098417449/il_fullxfull.8098417449_h0il.jpg,Color,"Primary color","Black,Brown,White","Custom Property","Custom Property","8″×10″,16″×20″,24″×32″","6A10A34EEBF0F_16043,6A10A34EEBF0F_17632,6A10A34EEBF0F_17646,6A10A34EEBF0F_15698,6A10A34EEBF0F_17641,6A10A34EEBF0F_17639,6A10A34EEBF0F_17634,6A10A34EEBF0F_16037,6A10A34EEBF0F_17627"
"Sunrise Oil Painting Print 20x10 Canvas | Five at Dawn","Five at Dawn — Canvas Print


“Five at Dawn” captures a quiet moment along the shoreline, where a small group of penguins stands together in soft morning light. The cool blues and subtle blush tones create a peaceful atmosphere that feels both soothing and imaginative. Perfect for a nursery, playroom, or child’s bedroom.

This piece adds just the right touch of whimsy without being overly bright or busy, making it easy to grow with your child over time. Whether you’re designing a coastal-themed room or simply want artwork that feels light, serene, and a little bit magical, this print brings a storybook-like charm to your walls.


This panoramic 20x10 canvas print brings a sense of openness and ease to any space.

Details:

Size: 20"" x 10"" (panoramic format)
High-quality canvas print of original oil painting by Kaleigh Anderson of Arts of August
Printed with rich, true-to-life color and fine detail
Ready to hang

About the Artist:
Arts of August is a collection of original oil paintings inspired by coastal landscapes, light, and quiet moments. Each piece is created with the intention of bringing calm, warmth, and a sense of place into your home.",110,USD,20,"coastal_wall_art,beach_sunrise_print,ocean_canvas_art,panoramic_wall_art,coastal_decor,beach_house_decor,ocean_landscape_art,calming_wall_art,long_canvas_art,horizontal_wall_art,neutral_coastal_art,arts_of_august",,https://i.etsystatic.com/61909134/r/il/1beb4c/7915967585/il_fullxfull.7915967585_pcrv.jpg,https://i.etsystatic.com/61909134/r/il/e8fcc4/7915967635/il_fullxfull.7915967635_himk.jpg,https://i.etsystatic.com/61909134/r/il/2b3941/7868013296/il_fullxfull.7868013296_bu5i.jpg,https://i.etsystatic.com/61909134/r/il/3aa24d/7868013362/il_fullxfull.7868013362_i4c4.jpg,https://i.etsystatic.com/61909134/r/il/88fe19/7915967807/il_fullxfull.7915967807_i4u2.jpg,https://i.etsystatic.com/61909134/r/il/f1d745/7915967837/il_fullxfull.7915967837_afru.jpg,https://i.etsystatic.com/61909134/r/il/02d7e6/7915967927/il_fullxfull.7915967927_9pp0.jpg,https://i.etsystatic.com/61909134/r/il/cb32c6/7868013586/il_fullxfull.7868013586_9pwk.jpg,https://i.etsystatic.com/61909134/r/il/9c06f4/7915968069/il_fullxfull.7915968069_1t3o.jpg,,,,,,,,69CD7F5BF39ED_19297
"Blue Vase Floral Still Life Canvas Print – Coastal Cottage Wall Art","Soft window light settles across a quiet arrangement — white blooms gathered in a blue glass vase beside a well-worn book. Blue Vase & Quiet Light captures the gentle stillness of coastal interiors, where morning light filters through open panes and everyday objects take on a sense of calm permanence. This oil painting print brings a peaceful, lived-in warmth to beach cottages, reading nooks, and thoughtfully layered New England–inspired spaces.

Mood

Quiet, reflective, cozy, airy, intimate, serene, sunlit

Palette

Soft ivory, coastal blue, muted sage, warm linen, window light gold, shadow gray, sea glass, pale blush

About the Artist

Original artwork by Maine-based artist Kaleigh Anderson, created for the Arts of August collection. Inspired by New England’s coastal landscapes, gardens, and interiors, her work reflects a quiet sense of place and the everyday beauty of life by the sea.

• Pine tree frame
• Frame thickness: 1.25″ (3.18 cm)
• Canvas fabric weight: 10.15 +/- 0.74 oz/yd² (344 g/m² +/- 25g/m²)
• Open back
• Comes with rubber pads on the back corners
• Hanging hardware attached
• Blank product sourced from the US

Disclaimers:
- The framed canvases with brown and black frames have a black inside around the canvas, and the canvases with white frames have a white inside around the canvas.
- This product isn’t intended for sanding or cutting—it creates airborne dust that might cause lung irritation.",65,USD,119,"blue_vase_art,white_flower_art,floral_still_life,book_lover_gift,cozy_cottage_decor,window_light_art,classic_home_art,moody_interior_art,traditional_decor,flower_vase_art,reading_nook_art,gift_for_her_art,still_life_painting",Canvas,https://i.etsystatic.com/61909134/r/il/5ab5a6/7747121550/il_fullxfull.7747121550_ok99.jpg,https://i.etsystatic.com/61909134/r/il/f8a985/7795077307/il_fullxfull.7795077307_129f.jpg,https://i.etsystatic.com/61909134/r/il/31f64d/7795077355/il_fullxfull.7795077355_m57y.jpg,https://i.etsystatic.com/61909134/r/il/067695/7795077437/il_fullxfull.7795077437_5cfv.jpg,https://i.etsystatic.com/61909134/r/il/5b6ef5/7747121820/il_fullxfull.7747121820_4zjo.jpg,https://i.etsystatic.com/61909134/r/il/da62d7/7747121868/il_fullxfull.7747121868_sluw.jpg,,,,,Color,"Primary color","Black,Brown,White","Custom Property","Custom Property","8″×10″,16″×20″","699F78C273EB6_16037,699F78C273EB6_16043,699F78C273EB6_17641,699F78C273EB6_17627,699F78C273EB6_17634,699F78C273EB6_15698"
"When the Day Breathes – Coastal Sunset Oil Painting Canvas Print by Kaleigh Anderson","Bring the glow of an ocean sunset into your home with When the Day Breathes, an original oil painting by Kaleigh Anderson of Arts of August Studio.

This fine art canvas print preserves the movement and luminosity of the original painting, layering color and reflection to mirror the quiet wonder of a day’s last light.

• Pine tree frame
• Frame thickness: 1.25″ (3.18 cm)
• Canvas fabric weight: 10.15 +/- 0.74 oz/yd² (344 g/m² +/- 25g/m²)
• Open back
• Comes with rubber pads on the back corners
• Hanging hardware attached
• Blank product sourced from the US

Palette & Mood
Golden yellows and soft oranges flow into muted blues and violets, capturing the serenity of dusk over calm water. Perfect for coastal, modern rustic, or contemporary interiors.

Production & Shipping
Each canvas is printed by Printful and shipped within 3–7 business days. Arrives ready to hang and carefully packaged for safe delivery.

About the Artist
Kaleigh Anderson is a Maine-based painter who explores light and emotion through her coastal landscapes. Her Arts of August Studio collection honors the quiet transitions of the day — the moments when nature feels both powerful and at peace.

Disclaimers:
- The framed canvases with brown and black frames have a black inside around the canvas, and the canvases with white frames have a white inside around the canvas.

This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions! The original painting features subtle gold leaf accents along the horizon, reproduced in the print as luminous golden tones.",85,USD,119,"coastal_sunset_art,ocean_horizon_art,golden_hour_painting,maine_artist_art,luminous_sky_art,coastal_wall_decor,sunset_canvas_print,modern_coastal_art,beach_house_wall_art,fine_art_landscape,pink_sky_artwork,serene_ocean_art,arts_of_august",,https://i.etsystatic.com/61909134/r/il/bbf3d3/7747768020/il_fullxfull.7747768020_nd4i.jpg,https://i.etsystatic.com/61909134/r/il/522a08/7795723639/il_fullxfull.7795723639_35fa.jpg,https://i.etsystatic.com/61909134/r/il/14dcc4/7747768104/il_fullxfull.7747768104_607a.jpg,https://i.etsystatic.com/61909134/r/il/b89f64/7747768140/il_fullxfull.7747768140_l1zr.jpg,https://i.etsystatic.com/61909134/r/il/98c791/7747768184/il_fullxfull.7747768184_r5bc.jpg,https://i.etsystatic.com/61909134/r/il/0451fa/7795723781/il_fullxfull.7795723781_hpc9.jpg,,,,,Color,"Primary color","Black,Brown,White","Custom Property","Custom Property","12″×12″,16″×16″","699FBEE7CB470_16034,699FBEE7CB470_16036,699FBEE7CB470_16040,699FBEE7CB470_15697,699FBEE7CB470_16042,699FBEE7CB470_15695"
"Harbor Line- Oil Painting Canvas Print-Cape Breeze","This bright coastal scene captures a sailboat gliding through calm blue water, its crisp white sail catching the light against a clear sky. In the distance, a charming lighthouse and shoreline buildings add warmth and character, creating a sense of place and quiet seaside charm.
Clean lines and expressive brushstrokes give the composition both structure and movement. The contrast between the vivid blues and sunlit architectural details creates a fresh, breezy atmosphere that feels distinctly summery and serene.
This piece evokes the simple pleasure of a peaceful harbor day — salt air, open water, and the gentle pull of the wind. It brings a light, coastal elegance to any space, perfect for beach homes, nautical décor, or anyone who loves the calm beauty of life by the sea.

• Pine tree frame
• Frame thickness: 1.25″ (3.18 cm)
• Canvas fabric weight: 10.15 +/- 0.74 oz/yd² (344 g/m² +/- 25g/m²)
• Open back
• Comes with rubber pads on the back corners
• Hanging hardware attached
• Blank product sourced from the US

Palette: cerulean blue, sky blue, soft aqua, crisp white, sandy beige, warm ochre, lighthouse red, muted gray, coastal green

Mood: breezy, peaceful, coastal, nostalgic, light-filled, serene, summery, fresh, relaxed, quietly joyful


Production & Shipping
Each canvas is printed by Printful and shipped within 3–7 business days. Arrives ready to hang and carefully packaged for safe delivery.

About the Artist
Kaleigh Anderson is a Maine-based painter known for her luminous seascapes and atmospheric abstracts. Through Arts of August Studio, she transforms coastal light and memory into timeless works of art for the modern home.

Disclaimers:
- The framed canvases with brown and black frames have a black inside around the canvas, and the canvases with white frames have a white inside around the canvas.",65,USD,120,"sailboat_wall_art,coastal_decor,lighthouse_painting,nautical_wall_art,beach_house_decor,harbor_art_print,seaside_wall_decor,ocean_inspired_art,summer_coastal_art,maritime_home_decor,blue_wall_art,gift_for_boat_lover",,https://i.etsystatic.com/61909134/r/il/e7c862/7751279140/il_fullxfull.7751279140_r5gc.jpg,https://i.etsystatic.com/61909134/r/il/d38851/7780682286/il_fullxfull.7780682286_3f15.jpg,https://i.etsystatic.com/61909134/r/il/26db6d/7828607553/il_fullxfull.7828607553_31n7.jpg,https://i.etsystatic.com/61909134/r/il/5d288d/7751279212/il_fullxfull.7751279212_e4zk.jpg,https://i.etsystatic.com/61909134/r/il/3d3937/7751279244/il_fullxfull.7751279244_114c.jpg,https://i.etsystatic.com/61909134/r/il/d5df06/7828606271/il_fullxfull.7828606271_n1lg.jpg,https://i.etsystatic.com/61909134/r/il/fab72e/7828606269/il_fullxfull.7828606269_slfb.jpg,https://i.etsystatic.com/61909134/r/il/7ed9fa/7828606277/il_fullxfull.7828606277_me5q.jpg,https://i.etsystatic.com/61909134/r/il/37fdaf/7780679482/il_fullxfull.7780679482_ptxo.jpg,https://i.etsystatic.com/61909134/r/il/91da01/7828607597/il_fullxfull.7828607597_bu6r.jpg,Color,"Primary color","Black,Brown,White","Custom Property","Custom Property","8″×10″,16″×20″","69A109CFDF256_16037,69A109CFDF256_17634,69A109CFDF256_16043,69A109CFDF256_17627,69A109CFDF256_17641,69A109CFDF256_15698"
"Citrus Radiance- Oil Painting Canvas Print- Citrus Light","This vibrant still life captures a cluster of golden lemons resting in a graceful glass vessel, set against a rich blue backdrop. The bold contrast between luminous yellow fruit and deep, saturated blues creates a striking yet harmonious composition.
Expressive brushstrokes bring movement and texture to the leaves and citrus, giving the piece a fresh, sunlit energy. The curved glass form adds softness and flow, balancing the bright intensity of the lemons with cool, calming tones.
Cheerful and modern, this artwork evokes the warmth of a Mediterranean kitchen or a quiet morning filled with natural light. It brings a burst of color and uplifting charm to any space, perfect for kitchens, dining areas, or anywhere that could use a touch of brightness and joy.

• Pine tree frame
• Frame thickness: 1.25″ (3.18 cm)
• Canvas fabric weight: 10.15 +/- 0.74 oz/yd² (344 g/m² +/- 25g/m²)
• Open back
• Comes with rubber pads on the back corners
• Hanging hardware attached
• Blank product sourced from the US

Palette: lemon yellow, golden yellow, deep navy blue, cobalt blue, soft sky blue, leafy green, turquoise glass tones, cool slate

Mood: bright, fresh, cheerful, uplifting, bold, lively, sunlit, modern, energetic, inviting

Production & Shipping
Each canvas is printed by Printful and shipped within 3–7 business days. Arrives ready to hang and carefully packaged for safe delivery.

About the Artist
Kaleigh Anderson is a Maine-based painter known for her luminous seascapes and atmospheric abstracts. Through Arts of August Studio, she transforms coastal light and memory into timeless works of art for the modern home.

Disclaimers:
- The framed canvases with brown and black frames have a black inside around the canvas, and the canvases with white frames have a white inside around the canvas.",65,USD,120,"lemon_wall_art,citrus_kitchen_decor,still_life_print,blue_and_yellow_art,kitchen_wall_decor,fruit_painting_print,colorful_kitchen_art,botanical_fruit_art,dining_room_wall_art,cheerful_home_decor,gift_for_food_lover",,https://i.etsystatic.com/61909134/r/il/da671a/7799178513/il_fullxfull.7799178513_9fad.jpg,https://i.etsystatic.com/61909134/r/il/ccb901/7751225536/il_fullxfull.7751225536_cymk.jpg,https://i.etsystatic.com/61909134/r/il/076464/7799178579/il_fullxfull.7799178579_ejwd.jpg,https://i.etsystatic.com/61909134/r/il/cf61af/7799178591/il_fullxfull.7799178591_8k0n.jpg,https://i.etsystatic.com/61909134/r/il/d5da84/7799178613/il_fullxfull.7799178613_a850.jpg,https://i.etsystatic.com/61909134/r/il/460496/7799178643/il_fullxfull.7799178643_2sg9.jpg,,,,,Color,"Primary color","Black,Brown,White","Custom Property","Custom Property","8″×10″,16″×20″","69A103AF00A48_16037,69A103AF00A48_17634,69A103AF00A48_16043,69A103AF00A48_15698,69A103AF00A48_17627,69A103AF00A48_17641"
"Morning Visitor-Lilac Watch-Oil Painting Canvas Print","This original bird painting captures a serene moment in nature — a soft blue bird resting gently among leafy branches and blooming lilacs. The expressive brushstrokes and layered color create a dreamy, peaceful atmosphere that feels both intimate and alive.
Shades of cool blue and violet contrast beautifully with fresh greens, giving the piece a calm yet vibrant presence. The composition evokes early morning light or a quiet spring evening, making it a soothing addition to bedrooms, living rooms, nurseries, or cozy reading nooks.
Perfect for nature lovers, bird enthusiasts, and anyone who appreciates impressionistic floral and wildlife art, this piece brings a gentle sense of stillness and beauty into your home.

Details
• Pine tree frame
• Frame thickness: 1.25″ (3.18 cm)
• Canvas fabric weight: 10.15 +/- 0.74 oz/yd² (344 g/m² +/- 25g/m²)
• Open back
• Comes with rubber pads on the back corners
• Hanging hardware attached
• Blank product sourced from the US

Palette: soft periwinkle blue, dusty violet, lilac purple, fresh spring green, deep leafy green, warm muted brown, hints of creamy light. The colors feel natural and slightly softened, with cool tones balanced by gentle warmth.

Mood: peaceful, serene, reflective, gentle, springlike, quietly joyful, calm and comforting. It has that still, early-morning-in-the-garden feeling — light, fresh, and full of quiet life.

Production & Shipping
Each canvas is printed by Printful and shipped within 3–7 business days. Arrives ready to hang and carefully packaged for safe delivery.

About the Artist
Kaleigh Anderson is a Maine-based painter known for her luminous seascapes and atmospheric abstracts. Through Arts of August Studio, she transforms coastal light and memory into timeless works of art for the modern home.

Disclaimers:
- The framed canvases with brown and black frames have a black inside around the canvas, and the canvases with white frames have a white inside around the canvas.
- This product isn’t intended for sanding or cutting—it creates airborne dust that might cause lung irritation.",85,USD,120,"bird_wall_art,blue_bird_art,lilac_wall_decor,nature_inspired_art,spring_home_decor,garden_artwork,impressionist_bird,cottagecore_decor,floral_bird_painting,nursery_wall_art,wildlife_artwork,gift_for_bird_lover",,https://i.etsystatic.com/61909134/r/il/9d6dee/7799091543/il_fullxfull.7799091543_9txs.jpg,https://i.etsystatic.com/61909134/r/il/31bd7a/7751139166/il_fullxfull.7751139166_gbvm.jpg,https://i.etsystatic.com/61909134/r/il/10942e/7751139206/il_fullxfull.7751139206_7opc.jpg,https://i.etsystatic.com/61909134/r/il/480b24/7751139250/il_fullxfull.7751139250_4l38.jpg,https://i.etsystatic.com/61909134/r/il/b9ad94/7799091665/il_fullxfull.7799091665_bsrn.jpg,https://i.etsystatic.com/61909134/r/il/88bcfa/7751139316/il_fullxfull.7751139316_5ncn.jpg,,,,,Color,"Primary color","Black,Brown,White","Custom Property","Custom Property","12″×12″,16″×16″","69A0F99063707_16034,69A0F99063707_16036,69A0F99063707_16042,69A0F99063707_16040,69A0F99063707_15695,69A0F99063707_15697"
"Stay Awhile, August-Plum Light-Oil Painting Canvas Print","This floral painting captures a luminous bouquet resting in soft, atmospheric light. Creamy white blossoms, vivid pink petals, and rich violet stems rise from a clear glass vase, set against a moody plum background that adds depth and drama.
Expressive brushstrokes and layered color give the piece movement and life, blending bold saturation with gentle transitions. The contrast between the delicate flowers and the shadowed backdrop creates a romantic, intimate feeling — like fresh blooms arranged at dusk.
This artwork brings warmth, elegance, and painterly texture into any space. Perfect for bedrooms, living rooms, or creative studios, it adds a refined yet inviting touch of color and softness to your home.

• Pine tree frame
• Frame thickness: 1.25″ (3.18 cm)
• Canvas fabric weight: 10.15 +/- 0.74 oz/yd² (344 g/m² +/- 25g/m²)
• Open back
• Comes with rubber pads on the back corners
• Hanging hardware attached
• Blank product sourced from the US

Palette: plum, deep burgundy, dusty rose, soft blush pink, creamy white, lavender, violet, muted mauve, leafy green, warm glass neutrals

Mood: romantic, intimate, moody, elegant, dreamy, softly dramatic, expressive, warm, refined, serene.


Production & Shipping
Each canvas is printed by Printful and shipped within 3–7 business days. Arrives ready to hang and carefully packaged for safe delivery.

About the Artist
Kaleigh Anderson is a Maine-based painter known for her luminous seascapes and atmospheric abstracts. Through Arts of August Studio, she transforms coastal light and memory into timeless works of art for the modern home.

Disclaimers:
- The framed canvases with brown and black frames have a black inside around the canvas, and the canvases with white frames have a white inside around the canvas.",85,USD,120,"floral_wall_art,moody_floral_art,romantic_home_decor,still_life_artwork,plum_wall_decor,bouquet_painting,colorful_wall_art,cottagecore_decor,bedroom_wall_art,textured_canvas_art,gift_for_art_lover",,https://i.etsystatic.com/61909134/r/il/0f9756/7799128163/il_fullxfull.7799128163_na66.jpg,https://i.etsystatic.com/61909134/r/il/7b767a/7751175168/il_fullxfull.7751175168_js8o.jpg,https://i.etsystatic.com/61909134/r/il/f2ca34/7799128209/il_fullxfull.7799128209_7p5i.jpg,https://i.etsystatic.com/61909134/r/il/28715d/7799128237/il_fullxfull.7799128237_69kw.jpg,https://i.etsystatic.com/61909134/r/il/7ce342/7751175264/il_fullxfull.7751175264_kv3j.jpg,https://i.etsystatic.com/61909134/r/il/0b25e8/7799128299/il_fullxfull.7799128299_kcc1.jpg,,,,,Color,"Primary color","Black,Brown,White","Custom Property","Custom Property","12″×12″,16″×16″","69A0FDBD08CBC_16034,69A0FDBD08CBC_16036,69A0FDBD08CBC_16040,69A0FDBD08CBC_16042,69A0FDBD08CBC_15695,69A0FDBD08CBC_15697"
"Study of Lupins-Lupins at Dawn-Oil Painting Canvas Print","This fine art print features a dreamy field of lupins reaching toward a soft pink sky. Tall spires of violet, lavender, and blue rise from fresh green stems, their colors gently blending into a glowing pastel backdrop. The expressive brushstrokes capture movement and light, creating the feeling of flowers swaying in a warm spring breeze.
The harmony between cool purples and blush tones gives the piece a peaceful, uplifting presence. It evokes the quiet joy of standing in an open meadow at golden hour — calm, airy, and full of color.
Perfect for adding softness and countryside charm to your home, this print brings a romantic, light-filled atmosphere to bedrooms, living spaces, nurseries, or creative studios.

• Pine tree frame
• Frame thickness: 1.25″ (3.18 cm)
• Canvas fabric weight: 10.15 +/- 0.74 oz/yd² (344 g/m² +/- 25g/m²)
• Open back
• Comes with rubber pads on the back corners
• Hanging hardware attached
• Blank product sourced from the US

Palette: blush pink, soft rose, lavender, violet, periwinkle blue, fresh green, meadow green, hints of sky blue, creamy light

Mood: airy, uplifting, peaceful, romantic, fresh, springlike, joyful, serene, light-filled, dreamy.

Production & Shipping
Each canvas is printed by Printful and shipped within 3–7 business days. Arrives ready to hang and carefully packaged for safe delivery.

About the Artist
Kaleigh Anderson is a Maine-based painter known for her luminous seascapes and atmospheric abstracts. Through Arts of August Studio, she transforms coastal light and memory into timeless works of art for the modern home.

Disclaimers:
- The framed canvases with brown and black frames have a black inside around the canvas, and the canvases with white frames have a white inside around the canvas.",85,USD,120,"lupin_wall_art,lupin_flower_print,pastel_floral_art,pink_sky_art_print,cottagecore_wall_art,spring_home_decor,meadow_flower_print,romantic_wall_decor,botanical_art_print,farmhouse_wall_art,bedroom_wall_art",,https://i.etsystatic.com/61909134/r/il/cc8846/7751187140/il_fullxfull.7751187140_g5o5.jpg,https://i.etsystatic.com/61909134/r/il/f93899/7799140211/il_fullxfull.7799140211_dh58.jpg,https://i.etsystatic.com/61909134/r/il/f6ed86/7751187214/il_fullxfull.7751187214_fto1.jpg,https://i.etsystatic.com/61909134/r/il/dc0724/7799140283/il_fullxfull.7799140283_8qss.jpg,https://i.etsystatic.com/61909134/r/il/7c3360/7751187300/il_fullxfull.7751187300_7nqs.jpg,https://i.etsystatic.com/61909134/r/il/9df740/7751187320/il_fullxfull.7751187320_7mhz.jpg,,,,,Color,"Primary color","Black,Brown,White","Custom Property","Custom Property","12″×12″,16″×16″","69A0FF28823C5_16040,69A0FF28823C5_15697,69A0FF28823C5_16034,69A0FF28823C5_16036,69A0FF28823C5_16042,69A0FF28823C5_15695"
"The Sea Forgot the Rules- Oil Painting Canvas Print- Lobster Lines, Maine","This fine art print captures a close-up glimpse of Maine’s working waterfront, where weathered lobster buoys hang in soft coastal light beside a quiet harbor shed. Sunlit fields and distant water peek through in the background, grounding the scene in the unmistakable landscape of coastal Maine.
Bold, painterly brushstrokes and layered color give the composition warmth and movement. The bright reds, blues, and whites of the buoys stand out against muted wood tones and sandy paths, creating a balance between vibrant detail and rustic simplicity.
Inspired by the everyday beauty of life along the Maine coast, this piece reflects the heritage, rhythm, and authenticity of New England’s fishing communities. It brings coastal character and relaxed maritime charm into any space, perfect for beach homes, nautical interiors, or anyone who loves Maine’s shoreline traditions.

• Pine tree frame
• Frame thickness: 1.25″ (3.18 cm)
• Canvas fabric weight: 10.15 +/- 0.74 oz/yd² (344 g/m² +/- 25g/m²)
• Open back
• Comes with rubber pads on the back corners
• Hanging hardware attached
• Blank product sourced from the US

Palette: coastal blue, soft sky blue, buoy red, weathered white, sandy beige, driftwood brown, muted teal, sunlit green, warm ochre

Mood: rustic, coastal, authentic, hardworking, sunlit, nostalgic, relaxed, maritime, grounded, quietly vibrant


Production & Shipping
Each canvas is printed by Printful and shipped within 3–7 business days. Arrives ready to hang and carefully packaged for safe delivery.

About the Artist
Kaleigh Anderson is a Maine-based painter known for her luminous seascapes and atmospheric abstracts. Through Arts of August Studio, she transforms coastal light and memory into timeless works of art for the modern home.

Disclaimers:
- The framed canvases with brown and black frames have a black inside around the canvas, and the canvases with white frames have a white inside around the canvas.",85,USD,120,"Maine_coastal_art,lobster_buoy_print,nautical_wall_decor,New_England_wall_art,harbor_decor,beach_house_wall_art,dockside_print,maritime_home_decor,Maine_gift_idea,seaside_artwork,coastal_living_decor",Canvas,https://i.etsystatic.com/61909134/r/il/df5f2f/7799308041/il_fullxfull.7799308041_sckd.jpg,https://i.etsystatic.com/61909134/r/il/8c1f74/7751355552/il_fullxfull.7751355552_nauo.jpg,https://i.etsystatic.com/61909134/r/il/9ad2f3/7751355586/il_fullxfull.7751355586_dj45.jpg,https://i.etsystatic.com/61909134/r/il/32f811/7828541689/il_fullxfull.7828541689_ttqy.jpg,https://i.etsystatic.com/61909134/r/il/8413df/7780613766/il_fullxfull.7780613766_7dpf.jpg,https://i.etsystatic.com/61909134/r/il/123ff9/7780616642/il_fullxfull.7780616642_kkto.jpg,https://i.etsystatic.com/61909134/r/il/64ea49/7828545025/il_fullxfull.7828545025_r826.jpg,https://i.etsystatic.com/61909134/r/il/78c373/7828545487/il_fullxfull.7828545487_ugzi.jpg,https://i.etsystatic.com/61909134/r/il/7053b8/7780618900/il_fullxfull.7780618900_i3c8.jpg,https://i.etsystatic.com/61909134/r/il/97a1ea/7780619570/il_fullxfull.7780619570_2xxu.jpg,Color,"Primary color","Black,Brown,White","Custom Property","Custom Property","12″×12″,16″×16″","69A112AA3EB9C_16034,69A112AA3EB9C_15695,69A112AA3EB9C_16036,69A112AA3EB9C_16040,69A112AA3EB9C_16042,69A112AA3EB9C_15697"
