Product Name,artwork_id,Product Type,Format,Price,Tags,Description,Story,Sales Channels,Etsy Status,Status,Notes
Light Through the Clouds,AOA-ART-0002,Printful Print,Framed Canvas,95,"coastal_seascape,sunset_landscape,Maine_art,evening_light,atmospheric_painting,canvas_seascape,twilight_seascape,coastal_Maine,seascape_wall_decor,dusk_landscape,cloud_painting,sunbeams_art","Light Through the Clouds captures the quiet moment when the sky opens — light pouring through a break in the clouds over a still Maine bay at dusk. Original oil painting on canvas, signed on the back. Painted in my Scarborough, Maine studio. Ships flat and carefully wrapped from Maine within 5–7 business days. Local pickup available in the Scarborough / Portland area. Each original is one of a kind — once it is gone, it is gone. Commissions in a similar style are available; message me to start one.","The quiet moment when the sky opens — light pouring through a break in the clouds over the bay, painted from a still evening on the Maine coast.",Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Sunrise Oil Painting Print 20x10 Canvas | Five at Dawn,AOA-ART-0052,Printful Print,Framed Canvas,110,"coastal_wall_art,beach_sunrise_print,ocean_canvas_art,panoramic_wall_art,coastal_decor,beach_house_decor,ocean_landscape_art,calming_wall_art,long_canvas_art,horizontal_wall_art,neutral_coastal_art,arts_of_august",Five at Dawn — Canvas Print,,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Blue Vase Floral Still Life Canvas Print – Coastal Cottage Wall Art,,Printful Print,Framed Canvas,65,"blue_vase_art,white_flower_art,floral_still_life,book_lover_gift,cozy_cottage_decor,window_light_art,classic_home_art,moody_interior_art,traditional_decor,flower_vase_art,reading_nook_art,gift_for_her_art,still_life_painting","Soft window light settles across a quiet arrangement — white blooms gathered in a blue glass vase beside a well-worn book. Blue Vase & Quiet Light captures the gentle stillness of coastal interiors, where morning light filters through open panes and everyday objects take on a sense of calm permanence. This oil painting print brings a peaceful, lived-in warmth to beach cottages, reading nooks, and thoughtfully layered New England–inspired spaces.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
When the Day Breathes – Coastal Sunset Oil Painting Canvas Print by Kaleigh Anderson,,Printful Print,Framed Canvas,85,"coastal_sunset_art,ocean_horizon_art,golden_hour_painting,maine_artist_art,luminous_sky_art,coastal_wall_decor,sunset_canvas_print,modern_coastal_art,beach_house_wall_art,fine_art_landscape,pink_sky_artwork,serene_ocean_art,arts_of_august","Bring the glow of an ocean sunset into your home with When the Day Breathes, an original oil painting by Kaleigh Anderson of Arts of August Studio.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Harbor Line- Oil Painting Canvas Print-Cape Breeze,AOA-ART-0015,Printful Print,Framed Canvas,65,"sailboat_wall_art,coastal_decor,lighthouse_painting,nautical_wall_art,beach_house_decor,harbor_art_print,seaside_wall_decor,ocean_inspired_art,summer_coastal_art,maritime_home_decor,blue_wall_art,gift_for_boat_lover","This bright coastal scene captures a sailboat gliding through calm blue water, its crisp white sail catching the light against a clear sky. In the distance, a charming lighthouse and shoreline buildings add warmth and character, creating a sense of place and quiet seaside charm.
Clean lines and expressive brushstrokes give the composition both structure and movement. The contrast between the vivid blues and sunlit architectural details creates a fresh, breezy atmosphere that feels distinctly summery and serene.
This piece evokes the simple pleasure of a peaceful harbor day — salt air, open water, and the gentle pull of the wind. It brings a light, coastal elegance to any space, perfect for beach homes, nautical décor, or anyone who loves the calm beauty of life by the sea.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Citrus Radiance- Oil Painting Canvas Print- Citrus Light,AOA-ART-0019,Printful Print,Framed Canvas,65,"lemon_wall_art,citrus_kitchen_decor,still_life_print,blue_and_yellow_art,kitchen_wall_decor,fruit_painting_print,colorful_kitchen_art,botanical_fruit_art,dining_room_wall_art,cheerful_home_decor,gift_for_food_lover","This vibrant still life captures a cluster of golden lemons resting in a graceful glass vessel, set against a rich blue backdrop. The bold contrast between luminous yellow fruit and deep, saturated blues creates a striking yet harmonious composition.
Expressive brushstrokes bring movement and texture to the leaves and citrus, giving the piece a fresh, sunlit energy. The curved glass form adds softness and flow, balancing the bright intensity of the lemons with cool, calming tones.
Cheerful and modern, this artwork evokes the warmth of a Mediterranean kitchen or a quiet morning filled with natural light. It brings a burst of color and uplifting charm to any space, perfect for kitchens, dining areas, or anywhere that could use a touch of brightness and joy.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Morning Visitor-Lilac Watch-Oil Painting Canvas Print,,Printful Print,Framed Canvas,85,"bird_wall_art,blue_bird_art,lilac_wall_decor,nature_inspired_art,spring_home_decor,garden_artwork,impressionist_bird,cottagecore_decor,floral_bird_painting,nursery_wall_art,wildlife_artwork,gift_for_bird_lover","This original bird painting captures a serene moment in nature — a soft blue bird resting gently among leafy branches and blooming lilacs. The expressive brushstrokes and layered color create a dreamy, peaceful atmosphere that feels both intimate and alive.
Shades of cool blue and violet contrast beautifully with fresh greens, giving the piece a calm yet vibrant presence. The composition evokes early morning light or a quiet spring evening, making it a soothing addition to bedrooms, living rooms, nurseries, or cozy reading nooks.
Perfect for nature lovers, bird enthusiasts, and anyone who appreciates impressionistic floral and wildlife art, this piece brings a gentle sense of stillness and beauty into your home.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
"Stay Awhile, August-Plum Light-Oil Painting Canvas Print",AOA-ART-0025,Printful Print,Framed Canvas,85,"floral_wall_art,moody_floral_art,romantic_home_decor,still_life_artwork,plum_wall_decor,bouquet_painting,colorful_wall_art,cottagecore_decor,bedroom_wall_art,textured_canvas_art,gift_for_art_lover","This floral painting captures a luminous bouquet resting in soft, atmospheric light. Creamy white blossoms, vivid pink petals, and rich violet stems rise from a clear glass vase, set against a moody plum background that adds depth and drama.
Expressive brushstrokes and layered color give the piece movement and life, blending bold saturation with gentle transitions. The contrast between the delicate flowers and the shadowed backdrop creates a romantic, intimate feeling — like fresh blooms arranged at dusk.
This artwork brings warmth, elegance, and painterly texture into any space. Perfect for bedrooms, living rooms, or creative studios, it adds a refined yet inviting touch of color and softness to your home.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
Study of Lupins-Lupins at Dawn-Oil Painting Canvas Print,,Printful Print,Framed Canvas,85,"lupin_wall_art,lupin_flower_print,pastel_floral_art,pink_sky_art_print,cottagecore_wall_art,spring_home_decor,meadow_flower_print,romantic_wall_decor,botanical_art_print,farmhouse_wall_art,bedroom_wall_art","This fine art print features a dreamy field of lupins reaching toward a soft pink sky. Tall spires of violet, lavender, and blue rise from fresh green stems, their colors gently blending into a glowing pastel backdrop. The expressive brushstrokes capture movement and light, creating the feeling of flowers swaying in a warm spring breeze.
The harmony between cool purples and blush tones gives the piece a peaceful, uplifting presence. It evokes the quiet joy of standing in an open meadow at golden hour — calm, airy, and full of color.
Perfect for adding softness and countryside charm to your home, this print brings a romantic, light-filled atmosphere to bedrooms, living spaces, nurseries, or creative studios.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
"The Sea Forgot the Rules- Oil Painting Canvas Print- Lobster Lines, Maine",AOA-ART-0024,Printful Print,Framed Canvas,85,"Maine_coastal_art,lobster_buoy_print,nautical_wall_decor,New_England_wall_art,harbor_decor,beach_house_wall_art,dockside_print,maritime_home_decor,Maine_gift_idea,seaside_artwork,coastal_living_decor","This fine art print captures a close-up glimpse of Maine’s working waterfront, where weathered lobster buoys hang in soft coastal light beside a quiet harbor shed. Sunlit fields and distant water peek through in the background, grounding the scene in the unmistakable landscape of coastal Maine.
Bold, painterly brushstrokes and layered color give the composition warmth and movement. The bright reds, blues, and whites of the buoys stand out against muted wood tones and sandy paths, creating a balance between vibrant detail and rustic simplicity.
Inspired by the everyday beauty of life along the Maine coast, this piece reflects the heritage, rhythm, and authenticity of New England’s fishing communities. It brings coastal character and relaxed maritime charm into any space, perfect for beach homes, nautical interiors, or anyone who loves Maine’s shoreline traditions.",,Etsy,active,active,Etsy import. Needs variant expansion + Etsy Listing ID.
